ID,Type,Attributes,Attribute Count,Recent Sale Price,Recent Offer,Recent Bid
CryptoPunk 308,Male,"['Messy Hair', 'Horned Rim Glasses', 'Mole']",3,"73.50Ξ ($291,644)","79.95Ξ ($332,261)","73.50Ξ ($304,893)"
CryptoPunk 2905,Female,"['Knitted Cap', 'Hot Lipstick', 'Earring']",3,"70Ξ ($303,964)","87.87Ξ ($367,771)","70Ξ ($303,964)"
CryptoPunk 7897,Female,"['Red Mohawk', 'Hot Lipstick', 'Clown Eyes Blue']",3,"70Ξ ($276,871)","70Ξ ($276,871)","85Ξ ($375,686)"
CryptoPunk 2522,Male,"['Mohawk Thin', 'Earring']",2,"70Ξ ($281,278)","70Ξ ($282,671)",
CryptoPunk 2451,Male,"['Cigarette', 'Mohawk Thin', 'Big Shades']",3,"106Ξ ($439,709)","109Ξ ($516,947)","106Ξ ($467,723)"
CryptoPunk 9684,Male,"['Cap Forward', 'Handlebars', 'Pipe', '3D Glasses']",4,"151.50Ξ ($632,343)",1KΞ ($3.74M),"140Ξ ($562,556)"
CryptoPunk 6806,Female,"['Cap', 'Classic Shades']",2,"74.99Ξ ($311,074)","74.99Ξ ($303,634)","88Ξ ($377,560)"
CryptoPunk 9764,Male,"['Buck Teeth', 'Front Beard Dark', 'Mohawk Dark']",3,"87.95Ξ ($368,303)","120Ξ ($489,080)","85Ξ ($355,949)"
CryptoPunk 7409,Male,"['Cap Forward', 'Eye Patch']",2,"85Ξ ($353,835)","115Ξ ($434,959)","81.50Ξ ($339,266)"
CryptoPunk 6956,Male,"['Stringy Hair', 'Eye Mask']",2,"68.69Ξ ($300,883)","68.69Ξ ($286,704)","63.50Ξ ($263,754)"
CryptoPunk 6934,Male,"['Messy Hair', 'Luxurious Beard', 'Classic Shades']",3,"125Ξ ($519,575)","145Ξ ($653,850)","125Ξ ($529,093)"
CryptoPunk 3444,Male,"['Cap Forward', 'Earring', 'Smile']",3,"115Ξ ($495,882)","139Ξ ($556,259)","115Ξ ($495,882)"
CryptoPunk 8969,Male,"['Police Cap', 'Earring', 'Normal Beard', 'VR']",4,"110Ξ ($449,519)","110Ξ ($449,519)","105Ξ ($441,671)"
CryptoPunk 5814,Male,"['Messy Hair', 'Silver Chain', 'Earring']",3,"88.88Ξ ($353,795)","92.99Ξ ($410,038)",<0.01Ξ ($4)
CryptoPunk 9845,Male,"['Cigarette', 'Cap Forward', 'Regular Shades']",3,"88.88Ξ ($386,688)","88.88Ξ ($369,987)","80Ξ ($334,606)"
CryptoPunk 4034,Male,"['Luxurious Beard', 'Classic Shades', 'Earring', 'Knitted Cap']",4,"104.95Ξ ($442,688)",600Ξ ($2.33M),"80Ξ ($332,077)"
CryptoPunk 6094,Male,"['Gold Chain', 'Headband']",2,"90Ξ ($373,586)","120Ξ ($469,949)","84.50Ξ ($350,756)"
CryptoPunk 9137,Male,"['Luxurious Beard', 'Hoodie', '3D Glasses']",3,310Ξ ($1.22M),324.95Ξ ($1.25M),310Ξ ($1.19M)
CryptoPunk 1462,Male,"['Earring', 'Headband', 'Eye Patch', 'Big Beard']",4,"96.99Ξ ($422,624)",,"87Ξ ($365,956)"
CryptoPunk 335,Male,['Clown Hair Green'],1,"88Ξ ($370,162)","99.99Ξ ($407,707)","85Ξ ($346,110)"
CryptoPunk 490,Female,"['Pigtails', 'Earring']",2,"102.50Ξ ($427,837)","149.69Ξ ($568,216)","100Ξ ($408,850)"
CryptoPunk 6828,Male,"['Peak Spike', 'Handlebars', 'Eye Patch']",3,"72Ξ ($295,597)","75.99Ξ ($327,642)",
CryptoPunk 8261,Female,"['Red Mohawk', 'Purple Lipstick', 'Cigarette']",3,"79Ξ ($322,980)","79Ξ ($346,258)","79Ξ ($360,152)"
CryptoPunk 6198,Male,"['Horned Rim Glasses', 'Do-rag']",2,"72.95Ξ ($297,149)","72.95Ξ ($298,677)","12.50Ξ ($31,340)"
CryptoPunk 6412,Male,"['Cap Forward', 'Classic Shades', 'Earring']",3,"89.99Ξ ($371,048)","89.99Ξ ($413,023)","78Ξ ($355,593)"
CryptoPunk 3159,Male,"['Handlebars', 'Wild Hair', 'Small Shades']",3,"84.95Ξ ($340,383)","84.95Ξ ($387,525)","75Ξ ($339,605)"
CryptoPunk 4731,Male,"['Earring', 'Normal Beard', 'Shaved Head', 'Small Shades']",4,"78.97Ξ ($319,083)","78.97Ξ ($309,936)",
CryptoPunk 2773,Male,"['Medical Mask', 'Mohawk']",2,"79.95Ξ ($313,750)","79.95Ξ ($348,608)",
CryptoPunk 3226,Male,"['Muttonchops', 'Nerd Glasses', 'Do-rag']",3,"75Ξ ($291,838)","75Ξ ($338,480)","70Ξ ($321,414)"
CryptoPunk 5346,Male,"['Vampire Hair', 'Earring', 'Horned Rim Glasses']",3,"74.95Ξ ($291,644)","119.69Ξ ($486,424)","74.95Ξ ($306,686)"
CryptoPunk 5108,Female,"['Black Lipstick', 'Purple Eye Shadow', 'Frumpy Hair', 'Earring', 'Cigarette']",5,"87.95Ξ ($387,152)",,"92Ξ ($434,552)"
CryptoPunk 197,Male,"['Frumpy Hair', 'Eye Patch']",2,"65Ξ ($242,430)","65Ξ ($242,430)","64Ξ ($231,750)"
CryptoPunk 5333,Female,"['Dark Hair', 'Earring', 'Cigarette']",3,"70Ξ ($286,431)","74Ξ ($306,373)","70Ξ ($286,935)"
CryptoPunk 4368,Female,"['Black Lipstick', 'Headband', 'Regular Shades', 'Earring']",4,"70Ξ ($286,935)","74.99Ξ ($303,634)","52.50Ξ ($194,265)"
CryptoPunk 5728,Female,"['Blue Eye Shadow', 'Frumpy Hair', 'Rosy Cheeks']",3,"70Ξ ($286,935)","70Ξ ($286,935)","115Ξ ($408,922)"
CryptoPunk 1446,Female,"['Pigtails', 'Hot Lipstick']",2,"89.99Ξ ($373,647)","110Ξ ($446,680)","92.50Ξ ($425,736)"
CryptoPunk 8814,Female,"['Purple Eye Shadow', 'Stringy Hair', 'Earring']",3,"66Ξ ($274,038)","66Ξ ($279,060)","59Ξ ($230,476)"
CryptoPunk 9947,Male,"['Earring', 'Goat', 'Knitted Cap', 'VR']",4,"120Ξ ($507,917)","220Ξ ($901,417)","120Ξ ($517,728)"
CryptoPunk 1697,Female,"['Mole', 'Big Shades', 'Mohawk Thin']",3,"89.94Ξ ($380,283)","89.94Ξ ($407,819)",0.10Ξ ($455)
CryptoPunk 7110,Male,"['Police Cap', 'Goat', 'Small Shades']",3,"100Ξ ($426,805)","100Ξ ($426,805)","96Ξ ($413,966)"
CryptoPunk 534,Female,"['Pigtails', 'VR']",2,"104.95Ξ ($439,657)","104.95Ξ ($435,354)","92Ξ ($392,661)"
CryptoPunk 8409,Male,"['Muttonchops', 'Shaved Head', 'Eye Patch']",3,0.00Ξ ($0.00),0.00Ξ ($0.00),"85Ξ ($366,078)"
CryptoPunk 1696,Male,"['Stringy Hair', 'Shadow Beard']",2,"69.69Ξ ($303,871)","69.69Ξ ($303,871)","65Ξ ($283,421)"
CryptoPunk 4646,Male,"['Police Cap', 'Earring', 'Small Shades']",3,"96Ξ ($417,370)","96Ξ ($453,377)","90Ξ ($391,284)"
CryptoPunk 3907,Male,"['Clown Eyes Blue', 'Muttonchops', 'Fedora', 'Earring']",4,"75Ξ ($315,242)","75Ξ ($321,692)","75Ξ ($326,070)"
CryptoPunk 5400,Male,"['Bandana', 'Earring', 'Clown Eyes Green']",3,"72.69Ξ ($320,154)","108Ξ ($413,888)","65.20Ξ ($285,772)"
CryptoPunk 8431,Female,"['Clown Nose', 'Purple Lipstick', 'Blonde Bob']",3,"81.99Ξ ($359,363)","81.99Ξ ($359,363)","11Ξ ($19,256)"
CryptoPunk 8645,Male,"['Front Beard', 'Cap', 'Horned Rim Glasses']",3,"75.95Ξ ($332,890)","75.95Ξ ($346,469)","71Ξ ($294,798)"
CryptoPunk 8471,Male,"['Police Cap', 'Goat', '3D Glasses']",3,"110Ξ ($496,438)","133Ξ ($545,381)","80Ξ ($321,637)"
CryptoPunk 8440,Female,"['Eye Patch', 'Hot Lipstick', 'Half Shaved', 'Earring']",4,"90Ξ ($406,176)","90Ξ ($406,176)","6Ξ ($6,416)"
CryptoPunk 8969,Male,"['Police Cap', 'Earring', 'Normal Beard', 'VR']",4,"110Ξ ($449,519)","110Ξ ($449,519)","105Ξ ($441,671)"
CryptoPunk 8808,Male,"['Bandana', 'Normal Beard Black', 'VR']",3,"107Ξ ($399,460)","107Ξ ($399,460)","90Ξ ($406,176)"
CryptoPunk 2672,Male,"['Frown', 'Muttonchops', 'Purple Hair', 'Earring']",4,"80.40Ξ ($369,167)","108.90Ξ ($403,997)","80.40Ξ ($360,016)"
CryptoPunk 8315,Male,"['Cap', 'Earring', 'Pipe']",3,"95Ξ ($389,974)","140.69Ξ ($573,201)","73Ξ ($296,015)"
CryptoPunk 3907,Male,"['Clown Eyes Blue', 'Muttonchops', 'Fedora', 'Earring']",4,"75Ξ ($315,242)","75Ξ ($321,692)","75Ξ ($326,070)"
CryptoPunk 3223,Male,"['Cigarette', 'Eye Mask', 'Wild Hair']",3,"70Ξ ($321,414)","104.99Ξ ($436,401)","75Ξ ($315,479)"
CryptoPunk 8431,Female,"['Clown Nose', 'Purple Lipstick', 'Blonde Bob']",3,"81.99Ξ ($359,363)","81.99Ξ ($359,363)","11Ξ ($19,256)"
CryptoPunk 3460,Male,"['Frumpy Hair', 'Eye Mask', 'Frown', 'Shadow Beard']",4,"74.90Ξ ($343,913)","84.90Ξ ($346,895)","72Ξ ($330,597)"
CryptoPunk 5346,Male,"['Vampire Hair', 'Earring', 'Horned Rim Glasses']",3,"74.95Ξ ($291,644)","119.69Ξ ($486,424)","74.95Ξ ($306,686)"
CryptoPunk 5619,Female,"['Tassle Hat', 'Hot Lipstick', 'Earring']",3,"72.95Ξ ($316,774)","72.95Ξ ($316,774)",0.17Ξ ($628)
CryptoPunk 9467,Male,"['Vampire Hair', 'Clown Eyes Blue', 'Clown Nose']",3,"70Ξ ($321,414)","89.99Ξ ($389,051)","76Ξ ($318,261)"
CryptoPunk 4202,Male,"['Earring', 'Normal Beard', 'Knitted Cap']",3,"89.95Ξ ($415,326)","89.95Ξ ($403,925)","85Ξ ($386,496)"
CryptoPunk 3322,Male,"['Bandana', 'Front Beard Dark', 'VR']",3,"150Ξ ($684,406)","150Ξ ($634,834)","122.50Ξ ($548,473)"
CryptoPunk 3159,Male,"['Handlebars', 'Wild Hair', 'Small Shades']",3,"84.95Ξ ($340,383)","84.95Ξ ($387,525)","75Ξ ($339,605)"
CryptoPunk 8945,Male,"['Earring', 'Mohawk Dark', 'Mole']",3,"74.95Ξ ($339,379)","74.95Ξ ($339,637)","1Ξ ($2,608)"
CryptoPunk 6283,Male,"['Stringy Hair', 'Front Beard', 'Gold Chain']",3,"85Ξ ($385,007)","86.95Ξ ($324,177)","85Ξ ($385,007)"
CryptoPunk 1857,Female,"['Eye Mask', 'Black Lipstick', 'Straight Hair Dark']",3,"75Ξ ($304,798)","75Ξ ($304,798)","71Ξ ($321,493)"
CryptoPunk 197,Male,"['Frumpy Hair', 'Eye Patch']",2,"65Ξ ($242,430)","65Ξ ($242,430)","64Ξ ($231,750)"
CryptoPunk 7673,Male,"['Earring', 'Nerd Glasses', 'Shaved Head']",3,"93.39Ξ ($423,198)","93.39Ξ ($418,183)","113Ξ ($488,494)"
CryptoPunk 5606,Male,"['Earring', 'Nerd Glasses', 'Goat', 'Mohawk']",4,"80Ξ ($360,108)","80Ξ ($364,253)","86Ξ ($367,635)"
CryptoPunk 8454,Female,"['Horned Rim Glasses', 'Straight Hair Blonde']",2,"77.77Ξ ($349,230)","88.88Ξ ($360,676)","77.77Ξ ($368,574)"
CryptoPunk 2271,Male,"['Front Beard', 'Eye Mask', 'Earring', 'Mohawk']",4,"76.69Ξ ($348,426)","79Ξ ($358,921)","76.69Ξ ($357,713)"
CryptoPunk 2006,Male,"['Cigarette', 'Front Beard Dark', 'Earring', 'Crazy Hair']",4,"135Ξ ($613,345)","134.80Ξ ($389,525)","135Ξ ($639,803)"
CryptoPunk 6444,Male,"['Normal Beard Black', 'Peak Spike', 'Earring', 'Mole']",4,"90Ξ ($408,897)","94.95Ξ ($443,665)","90Ξ ($392,841)"
CryptoPunk 1721,Female,"['Black Lipstick', 'Pigtails', 'Earring']",3,"135Ξ ($542,146)","108Ξ ($392,471)","135Ξ ($542,146)"
CryptoPunk 5642,Female,"['Silver Chain', 'Blonde Short', 'Earring', 'Nerd Glasses']",4,"101Ξ ($465,218)","106.99Ξ ($436,672)","101Ξ ($412,191)"
CryptoPunk 1092,Female,"['Spots', 'Blonde Short', 'Cigarette']",3,"90Ξ ($414,551)","96.99Ξ ($441,014)","50Ξ ($226,552)"
CryptoPunk 4202,Male,"['Earring', 'Normal Beard', 'Knitted Cap']",3,"89.95Ξ ($415,326)","89.95Ξ ($403,925)","85Ξ ($386,496)"
CryptoPunk 4816,Male,"['Cap Forward', 'Goat', 'Pipe']",3,"86Ξ ($393,662)","90Ξ ($412,816)","86Ξ ($394,710)"
CryptoPunk 7307,Male,"['Shadow Beard', 'Wild Hair', 'Horned Rim Glasses']",3,"105Ξ ($481,618)","109.95Ξ ($409,929)","105Ξ ($481,618)"
CryptoPunk 7346,Male,"['Cigarette', 'Bandana', 'Regular Shades']",3,"90Ξ ($419,796)",,"90Ξ ($388,749)"
CryptoPunk 6099,Female,"['Welding Goggles', 'Crazy Hair']",2,"101Ξ ($474,931)","109.95Ξ ($509,101)","101Ξ ($475,600)"
CryptoPunk 2126,Male,"['Frumpy Hair', 'Frown', 'Clown Eyes Green']",3,"83.99Ξ ($395,558)",,"81Ξ ($337,029)"
CryptoPunk 8295,Male,"['Messy Hair', 'Luxurious Beard', 'Classic Shades']",3,"149.95Ξ ($714,675)","149.95Ξ ($689,536)","120.69Ξ ($565,176)"
CryptoPunk 3626,Male,"['Bandana', 'Medical Mask']",2,"86.95Ξ ($409,990)","86.95Ξ ($405,237)","81Ξ ($378,811)"
CryptoPunk 3878,Male,"['Handlebars', 'Earring', 'Headband']",3,"87.95Ξ ($412,961)","87.95Ξ ($409,897)","85Ξ ($399,110)"
CryptoPunk 1520,Female,"['Clown Eyes Green', 'Medical Mask', 'Mohawk Dark']",3,"79.94Ξ ($346,923)",3.5KΞ ($15.43M),"80Ξ ($375,633)"
CryptoPunk 2773,Male,"['Medical Mask', 'Mohawk']",2,"79.95Ξ ($313,750)","79.95Ξ ($348,608)",
CryptoPunk 6859,Female,"['Green Eye Shadow', 'Blonde Short', 'Hot Lipstick', 'Earring']",4,"80Ξ ($375,633)","80Ξ ($376,713)",
CryptoPunk 9764,Male,"['Buck Teeth', 'Front Beard Dark', 'Mohawk Dark']",3,"87.95Ξ ($368,303)","120Ξ ($489,080)","85Ξ ($355,949)"
CryptoPunk 6305,Female,"['Pipe', 'Frumpy Hair']",2,"80Ξ ($374,134)","80Ξ ($374,134)","90Ξ ($406,419)"
CryptoPunk 2065,Female,"['Horned Rim Glasses', 'Hot Lipstick', 'Dark Hair']",3,"86Ξ ($402,194)","90Ξ ($370,003)","86Ξ ($370,668)"
CryptoPunk 7564,Male,"['Rosy Cheeks', 'Shaved Head']",2,"68.75Ξ ($254,395)","68.75Ξ ($256,662)","51Ξ ($191,227)"
CryptoPunk 3626,Male,"['Bandana', 'Medical Mask']",2,"86.95Ξ ($409,990)","86.95Ξ ($405,237)","81Ξ ($378,811)"
CryptoPunk 8645,Male,"['Front Beard', 'Cap', 'Horned Rim Glasses']",3,"75.95Ξ ($332,890)","75.95Ξ ($346,469)","71Ξ ($294,798)"
CryptoPunk 5878,Female,"['Eye Mask', 'Black Lipstick', 'Bandana']",3,"80Ξ ($369,700)","80Ξ ($359,349)","75Ξ ($354,184)"
CryptoPunk 5807,Male,"['Mohawk Thin', 'Regular Shades', 'Mole']",3,"95Ξ ($421,877)","95Ξ ($421,557)","5Ξ ($22,660)"
CryptoPunk 4248,Male,"['Stringy Hair', 'Goat']",2,"82.95Ξ ($360,259)","82.95Ξ ($359,749)","75Ξ ($325,732)"
CryptoPunk 4016,Female,"['Straight Hair', 'Regular Shades', 'Earring']",3,"100Ξ ($432,081)","100Ξ ($411,693)","75Ξ ($306,980)"
CryptoPunk 2672,Male,"['Frown', 'Muttonchops', 'Purple Hair', 'Earring']",4,"80.40Ξ ($369,167)","108.90Ξ ($403,997)","80.40Ξ ($360,016)"
CryptoPunk 2726,Male,"['Luxurious Beard', 'Fedora', 'Earring', 'Small Shades']",4,"140Ξ ($591,536)","140Ξ ($574,400)","110Ξ ($494,105)"
CryptoPunk 6105,Male,"['Shaved Head', 'Big Beard']",2,"96Ξ ($395,116)","96Ξ ($386,868)","22.50Ξ ($47,341)"
CryptoPunk 7492,Male,"['Front Beard', 'Knitted Cap']",2,"81Ξ ($329,064)",,"81Ξ ($331,217)"
CryptoPunk 8838,Male,"['Knitted Cap', '3D Glasses', 'Mole']",3,"135Ξ ($553,142)","139Ξ ($568,926)","38Ξ ($77,818)"
CryptoPunk 4961,Female,"['Cap', 'Green Eye Shadow', 'Earring']",3,"95Ξ ($395,436)","95Ξ ($405,740)","90.90Ξ ($374,392)"
CryptoPunk 3536,Male,"['Cap Forward', 'Earring']",2,"103Ξ ($424,228)","115Ξ ($517,830)","103Ξ ($420,954)"
CryptoPunk 8604,Female,"['Blue Eye Shadow', 'Knitted Cap', 'Black Lipstick']",3,"83.95Ξ ($340,965)","83.95Ξ ($338,708)","81Ξ ($348,680)"
CryptoPunk 8357,Male,"['Vampire Hair', 'Front Beard', 'Clown Nose', 'Earring']",4,"115Ξ ($467,076)","115Ξ ($503,513)","100Ξ ($406,153)"
CryptoPunk 7492,Male,"['Front Beard', 'Knitted Cap']",2,"81Ξ ($329,064)",,"81Ξ ($331,217)"
CryptoPunk 6322,Male,"['Vampire Hair', 'Mole']",2,"91.99Ξ ($375,912)","96.31Ξ ($388,976)","100Ξ ($393,958)"
CryptoPunk 5807,Male,"['Mohawk Thin', 'Regular Shades', 'Mole']",3,"95Ξ ($421,877)","95Ξ ($421,557)","5Ξ ($22,660)"
CryptoPunk 3056,Male,"['Cap Forward', 'Earring', 'Small Shades']",3,"111.11Ξ ($499,792)","118.88Ξ ($536,843)","111.11Ξ ($501,752)"
CryptoPunk 3825,Male,"['Cigarette', 'Big Shades', 'Do-rag']",3,"90Ξ ($405,577)","90Ξ ($406,419)","86Ξ ($352,321)"
CryptoPunk 5807,Male,"['Mohawk Thin', 'Regular Shades', 'Mole']",3,"95Ξ ($421,877)","95Ξ ($421,557)","5Ξ ($22,660)"
CryptoPunk 3842,Female,"['Bandana', 'Regular Shades']",2,"86.80Ξ ($387,503)","86.80Ξ ($368,779)","76Ξ ($322,894)"
CryptoPunk 7877,Female,"['Purple Lipstick', 'Straight Hair Dark', 'Cigarette']",3,"87.95Ξ ($392,637)","87.95Ξ ($382,672)","41.50Ξ ($104,865)"
CryptoPunk 621,Male,"['Peak Spike', 'Earring', 'Normal Beard', 'Smile', 'Eye Patch']",5,"130Ξ ($580,362)","140Ξ ($598,475)","130Ξ ($553,962)"
CryptoPunk 4613,Male,"['Frumpy Hair', 'Regular Shades']",2,275Ξ ($1.19M),"275Ξ ($891,217)","95Ξ ($410,740)"
CryptoPunk 3616,Female,"['Black Lipstick', 'Purple Eye Shadow', 'Blonde Short']",3,"69.80Ξ ($258,014)","69.80Ξ ($261,052)","130Ξ ($517,852)"
CryptoPunk 7853,Female,"['Blue Eye Shadow', 'Straight Hair', 'Purple Lipstick']",3,"92.75Ξ ($398,973)","92.75Ξ ($400,211)","90Ξ ($418,361)"
CryptoPunk 1085,Male,"['Cigarette', 'Big Shades', 'Mohawk Dark']",3,"79.95Ξ ($324,336)","79.95Ξ ($324,105)","75Ξ ($304,508)"
CryptoPunk 3245,Male,"['Cigarette', 'VR', 'Do-rag']",3,"77Ξ ($311,138)","89.95Ξ ($335,362)","70Ξ ($290,091)"
CryptoPunk 5427,Male,"['Cigarette', 'Cap Forward', 'Earring']",3,"100Ξ ($426,125)","102.41Ξ ($388,743)","85Ξ ($315,323)"
CryptoPunk 3324,Male,"['Earring', 'Crazy Hair', 'Big Beard']",3,"114Ξ ($485,782)","117.99Ξ ($496,159)","114Ξ ($486,541)"
CryptoPunk 5169,Male,"['Clown Nose', 'Hoodie']",2,"217Ξ ($925,930)",320Ξ ($1.38M),"217Ξ ($925,930)"
CryptoPunk 6544,Male,"['Front Beard Dark', 'Fedora', 'VR']",3,"110Ξ ($464,379)","159Ξ ($686,075)","150Ξ ($618,123)"
CryptoPunk 4361,Male,"['Normal Beard Black', 'Earring', 'Mohawk']",3,"89.50Ξ ($384,764)",,"86Ξ ($368,912)"
CryptoPunk 1855,Female,"['Bandana', 'Earring']",2,"82Ξ ($352,521)","99.50Ξ ($427,171)","82Ξ ($349,180)"
CryptoPunk 9696,Male,"['Cigarette', 'Crazy Hair', 'Mole']",3,"110Ξ ($469,469)","110Ξ ($478,612)","109Ξ ($465,201)"
CryptoPunk 1139,Female,"['Mole', 'Eye Patch', 'Hot Lipstick', 'Dark Hair']",4,"99.88Ξ ($426,936)","99.88Ξ ($432,004)","97Ξ ($414,626)"
CryptoPunk 7877,Female,"['Purple Lipstick', 'Straight Hair Dark', 'Cigarette']",3,"87.95Ξ ($392,637)","87.95Ξ ($382,672)","41.50Ξ ($104,865)"
CryptoPunk 4974,Male,"['Earring', 'Knitted Cap', 'Eye Patch']",3,"90Ξ ($391,592)","114.44Ξ ($527,124)","86.50Ξ ($376,363)"
CryptoPunk 8061,Male,"['Eye Mask', 'Front Beard Dark', 'Fedora']",3,"100Ξ ($436,585)","100Ξ ($438,987)","26Ξ ($46,640)"
CryptoPunk 8096,Female,"['Welding Goggles', 'Half Shaved']",2,"97.95Ξ ($389,772)","97.95Ξ ($390,024)","88.88Ξ ($354,952)"
CryptoPunk 3263,Female,"['Orange Side', 'Black Lipstick']",2,"150Ξ ($625,391)","150Ξ ($578,167)","64.20Ξ ($260,935)"
CryptoPunk 8116,Male,"['Cigarette', 'Normal Beard', 'Mohawk']",3,"107Ξ ($444,376)","111Ξ ($464,356)","107Ξ ($448,572)"
CryptoPunk 2126,Male,"['Frumpy Hair', 'Frown', 'Clown Eyes Green']",3,"83.99Ξ ($395,558)",,"81Ξ ($337,029)"
CryptoPunk 5558,Male,"['Cap', 'Mustache', 'Earring']",3,"94.95Ξ ($397,213)","119Ξ ($512,819)","87.50Ξ ($366,047)"
CryptoPunk 5558,Male,"['Cap', 'Mustache', 'Earring']",3,"94.95Ξ ($397,213)","119Ξ ($512,819)","87.50Ξ ($366,047)"
CryptoPunk 4453,Female,"['Horned Rim Glasses', 'Purple Lipstick']",2,"93.95Ξ ($387,256)","93.95Ξ ($392,221)","0.80Ξ ($1,454)"
CryptoPunk 2776,Male,"['Spots', 'Earring', 'Mohawk']",3,"61.99Ξ ($253,118)","61.99Ξ ($245,901)","50Ξ ($204,160)"
CryptoPunk 2065,Female,"['Horned Rim Glasses', 'Hot Lipstick', 'Dark Hair']",3,"86Ξ ($402,194)","90Ξ ($370,003)","86Ξ ($370,668)"
CryptoPunk 6971,Male,"['Front Beard', 'Spots', 'Earring', 'Headband', 'Regular Shades']",5,"115.20Ξ ($487,675)","118.95Ξ ($496,590)","115.20Ξ ($506,415)"
CryptoPunk 6502,Male,"['Buck Teeth', 'Do-rag']",2,"86.95Ξ ($354,379)","130Ξ ($529,837)","75Ξ ($342,722)"
CryptoPunk 6581,Female,"['Tiara', 'Cigarette']",2,"160Ξ ($671,032)","160Ξ ($671,042)","65Ξ ($148,702)"
CryptoPunk 2953,Male,"['Normal Beard Black', 'Wild Hair', 'Vape', 'Regular Shades']",4,"150Ξ ($629,101)","150Ξ ($708,033)","142Ξ ($595,549)"
CryptoPunk 9285,Male,"['Normal Beard Black', 'Crazy Hair', 'Regular Shades']",3,"103Ξ ($385,759)","103Ξ ($385,759)","72.99Ξ ($273,988)"
CryptoPunk 642,Female,"['Pink With Hat', 'Purple Lipstick']",2,"168Ξ ($639,475)","168Ξ ($644,818)","117Ξ ($511,842)"
CryptoPunk 2279,Female,"['Pigtails', 'Nerd Glasses']",2,"140Ξ ($587,699)","140Ξ ($591,508)","129Ξ ($418,751)"
CryptoPunk 4979,Female,"['Big Shades', 'Dark Hair']",2,"91.98Ξ ($397,931)",1.34KΞ ($5.35M),"88Ξ ($378,832)"
CryptoPunk 4222,Female,"['Green Eye Shadow', 'Pigtails', 'Earring']",3,"207.69Ξ ($905,753)","207.69Ξ ($726,134)","80Ξ ($242,017)"
CryptoPunk 4007,Male,"['Frumpy Hair', 'Chinstrap', 'Earring', 'Regular Shades']",4,"125Ξ ($543,899)","175Ξ ($772,807)","125Ξ ($538,747)"
CryptoPunk 793,Male,"['Shadow Beard', 'Purple Hair']",2,"90.95Ξ ($376,062)","90.95Ξ ($376,062)","107Ξ ($467,209)"
CryptoPunk 8637,Male,"['Earring', 'Normal Beard', 'Headband']",3,"89.69Ξ ($388,989)","89.69Ξ ($388,989)","83Ξ ($361,149)"
CryptoPunk 6626,Female,"['Tassle Hat', 'Purple Eye Shadow', 'Earring']",3,"87.50Ξ ($379,491)","87.50Ξ ($380,342)","87Ξ ($371,560)"
CryptoPunk 7443,Male,"['Bandana', 'Clown Nose', 'Big Shades']",3,"95Ξ ($412,019)","110.10Ξ ($444,642)","95Ξ ($412,943)"
CryptoPunk 661,Male,"['Goat', 'Knitted Cap']",2,"87Ξ ($374,893)","98Ξ ($422,293)",
CryptoPunk 7479,Male,"['Bandana', 'Normal Beard Black', '3D Glasses']",3,"119Ξ ($485,005)","119Ξ ($482,610)","105Ξ ($425,653)"
CryptoPunk 7622,Female,"['Black Lipstick', 'Spots', 'Green Eye Shadow', 'Dark Hair']",4,"249.95Ξ ($915,897)",350Ξ ($1.33M),"249.95Ξ ($948,510)"
CryptoPunk 3046,Male,"['Cap', 'Classic Shades', 'Earring']",3,"127.77Ξ ($559,578)","105Ξ ($395,656)","127.77Ξ ($540,582)"
CryptoPunk 4991,Male,"['Messy Hair', 'Regular Shades']",2,"130Ξ ($559,575)","130Ξ ($559,575)",0.40Ξ ($56)
CryptoPunk 9031,Male,"['Cap Forward', 'Big Shades']",2,"163.69Ξ ($705,682)","163.69Ξ ($742,982)","124Ξ ($534,438)"
CryptoPunk 7110,Male,"['Police Cap', 'Goat', 'Small Shades']",3,"100Ξ ($426,805)","100Ξ ($426,805)","96Ξ ($413,966)"
CryptoPunk 4979,Female,"['Big Shades', 'Dark Hair']",2,"91.98Ξ ($397,931)",1.34KΞ ($5.35M),"88Ξ ($378,832)"
CryptoPunk 6526,Male,"['Cigarette', 'Mustache', 'Nerd Glasses']",3,"111.69Ξ ($459,820)","111.69Ξ ($451,827)",
CryptoPunk 8604,Female,"['Blue Eye Shadow', 'Knitted Cap', 'Black Lipstick']",3,"83.95Ξ ($340,965)","83.95Ξ ($338,708)","81Ξ ($348,680)"
CryptoPunk 1161,Female,"['Messy Hair', 'Nerd Glasses']",2,"93.95Ξ ($382,238)","93.95Ξ ($402,531)","83.50Ξ ($356,636)"
CryptoPunk 9071,Female,"['Hot Lipstick', 'Half Shaved', 'Cigarette']",3,"109.90Ξ ($447,881)","109.90Ξ ($467,284)","75Ξ ($247,991)"
CryptoPunk 2936,Male,"['Horned Rim Glasses', 'Goat', 'Crazy Hair']",3,"104.95Ξ ($424,562)","104.95Ξ ($494,647)","100.50Ξ ($464,113)"
CryptoPunk 7456,Female,"['Black Lipstick', 'Green Eye Shadow', 'Straight Hair Dark']",3,"87Ξ ($353,871)","78.94Ξ ($329,027)","85Ξ ($341,732)"
